Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1647.095617829042,OUT049
FDW14,1361.62507985096,OUT017
NCN55,573.0538778081977,OUT010
FDQ58,2467.430529560381,OUT017
FDY38,5858.572564267698,OUT027
FDH56,1931.2953890732215,OUT046
FDL48,766.7007231390079,OUT018
FDC48,2174.1364336568786,OUT027
FDN33,1522.771972961817,OUT045
FDA36,3098.171398380889,OUT017
FDT44,1917.9456634785533,OUT017
FDQ56,1359.0837609823984,OUT045
NCC54,572.7247607037827,OUT019
FDU11,2012.1168023341183,OUT049
DRL59,868.8872674676247,OUT013
FDM24,2446.9009333022714,OUT049
FDI57,3045.376502419006,OUT045
DRC12,2958.251628185135,OUT018
NCM42,2918.5609067225473,OUT027
FDA46,509.5227421899609,OUT010
FDA31,2845.3293482381287,OUT013
NCJ31,3817.698764204559,OUT035
FDG52,783.4543317191739,OUT046
NCL19,286.2228344730038,OUT019
FDS10,3020.0607135348478,OUT035
FDX22,566.368256462139,OUT010
NCF19,763.1419834220061,OUT035
NCE06,2545.0538806798086,OUT046
DRC27,3959.283152681314,OUT046
FDE21,1944.2591186204852,OUT035
NCR42,130.3991618939173,OUT019
FDX51,2982.350899717651,OUT018
NCR06,615.2234797386656,OUT018
FDU31,5859.941507890135,OUT027
FDU59,2542.116454449935,OUT017
FDR03,5857.820230840072,OUT027
FDS49,2059.7098062168866,OUT027
FDD48,267.785109125188,OUT010
NCF18,3026.697277324585,OUT017
NCD43,2858.1287229165914,OUT027
NCD54,2111.4983065501233,OUT018
FDY19,268.7300472472828,OUT010
NCY54,2857.064397006333,OUT017
NCL19,2424.1298623644866,OUT018
FDP23,572.5184746885859,OUT010
FDC26,1734.4372339868987,OUT013
FDR14,130.3991618939173,OUT010
NCS41,3117.192305774615,OUT035
FDF41,3938.980518263209,OUT035
FDU34,2037.7942669688557,OUT046
DRH11,927.8017797522422,OUT046
FDM03,1649.4818791463058,OUT013
FDS31,3061.792934673229,OUT017
FDJ20,1991.223317522816,OUT017
FDV44,5128.6396731641225,OUT027
FDG02,3117.471015772106,OUT049
FDA09,3010.774038236545,OUT013
FDT04,698.2977830787838,OUT013
FDL58,572.9587555967961,OUT019
FDE52,1382.627203319279,OUT045
FDW12,2469.829770388229,OUT035
FDL51,3720.3389278829873,OUT017
NCY42,3015.824094593489,OUT027
FDR07,1539.4587433471206,OUT017
FDN40,2462.2738610562797,OUT045
FDB35,2678.167578822594,OUT027
FDA22,2561.3580428315086,OUT017
NCL06,4050.0461429955653,OUT046
FDI35,3080.2578339823585,OUT013
NCW42,3748.6071539710933,OUT045
NCX06,3006.4085014327165,OUT049
FDC37,2889.6263754876263,OUT027
FDZ14,1954.5597266462062,OUT018
DRG49,3842.529009916008,OUT049
NCG06,4009.4845549120996,OUT045
DRC36,2868.0928398090105,OUT045
FDV21,279.608536603976,OUT019
FDB53,2505.840738166177,OUT046
DRP47,572.7247607037827,OUT019
FDA14,2452.5553922894073,OUT013
DRC24,2534.7499885785032,OUT035
FDW21,1621.50475189882,OUT018
NCH29,1545.831840415737,OUT046
FDU58,3109.590250647637,OUT013
FDY27,2883.6962193761824,OUT017
FDV56,1657.4991379222006,OUT035
FDT59,3858.7835411886476,OUT046
FDB23,3757.2974778077605,OUT046
FDR49,759.9633252881316,OUT045
FDB03,573.276635454996,OUT010
FDN39,2657.9034935988107,OUT045
FDX02,5858.572564267698,OUT027
FDQ16,2886.354384728994,OUT027
FDU35,1553.1168834553316,OUT018
NCT29,2007.4694274578596,OUT013
FDZ27,782.6323419000211,OUT046
FDN57,2037.547684637989,OUT017
FDA03,2416.330302817881,OUT018
FDZ36,3103.8395865770503,OUT045
NCU05,1416.666705544364,OUT013
FDT39,2385.9533015582588,OUT018
FDK60,1541.4471113457785,OUT017
FDZ25,2806.9930491467494,OUT017
FDG12,2071.6200895499364,OUT046
DRB01,507.1420269844822,OUT019
NCC43,5858.572564267698,OUT027
FDX13,572.0532018283486,OUT019
FDM22,873.3522353077866,OUT049
FDJ03,1093.8429289033102,OUT027
FDU14,3854.7883206901793,OUT018
FDB33,381.84711689578864,OUT010
FDP27,3116.4400413523476,OUT046
FDO38,157.90495659112088,OUT010
FDE28,5858.572564267698,OUT027
FDO27,1522.8950601322263,OUT035
DRL23,2881.8777237315985,OUT027
FDS28,926.6672118371534,OUT046
FDX24,1465.2829445473606,OUT013
FDZ02,1541.654472412757,OUT035
FDL46,1902.582556753527,OUT045
FDS60,4745.803459097884,OUT027
NCO06,594.0267398307782,OUT017
FDO16,1356.2976437190732,OUT035
FDC60,1358.3048941808993,OUT049
FDA48,3435.3405313570984,OUT018
FDZ36,5109.354661588021,OUT027
FDK27,2035.3750128365389,OUT045
FDW23,605.9275285325501,OUT018
FDM14,1690.8246068039302,OUT018
FDM14,1650.705773664764,OUT013
FDW60,2807.087364258029,OUT018
